,Equipo,Temporada,HF,HY,HR,AF,AY,AR,Total_F,Total_Y,Total_R,Promedio_F/Y,num_temp
0,Alaves,05/06,337,45,4,360,43,0,697,88,4,7.9,7
1,Alaves,16/17,274,58,1,266,55,4,540,113,5,4.8,7
2,Alaves,17/18,311,65,4,292,44,0,603,109,4,5.5,7
3,Alaves,18/19,276,50,0,272,51,1,548,101,1,5.4,7
4,Alaves,19/20,320,62,1,301,47,6,621,109,7,5.7,7
5,Alaves,20/21,260,48,5,252,49,3,512,97,8,5.3,7
6,Alaves,21/22,271,48,2,258,44,1,529,92,3,5.8,7
7,Almeria,07/08,386,54,1,375,46,7,761,100,8,7.6,7
8,Almeria,08/09,355,50,6,305,44,6,660,94,12,7.0,7
9,Almeria,09/10,318,43,4,310,49,2,628,92,6,6.8,7
10,Almeria,10/11,274,45,1,286,48,3,560,93,4,6.0,7
11,Almeria,13/14,296,48,4,266,47,1,562,95,5,5.9,7
12,Almeria,14/15,278,58,6,284,47,5,562,105,11,5.4,7
13,Almeria,22/23,236,49,2,208,47,2,444,96,4,4.6,7
14,Ath Bilbao,05/06,343,41,3,376,51,3,719,92,6,7.8,18
15,Ath Bilbao,06/07,348,41,4,352,44,4,700,85,8,8.2,18
16,Ath Bilbao,07/08,370,59,3,314,51,5,684,110,8,6.2,18
17,Ath Bilbao,08/09,365,59,6,319,46,7,684,105,13,6.5,18
18,Ath Bilbao,09/10,282,33,4,287,58,6,569,91,10,6.3,18
19,Ath Bilbao,10/11,319,49,5,306,46,2,625,95,7,6.6,18
20,Ath Bilbao,11/12,276,49,6,274,53,2,550,102,8,5.4,18
21,Ath Bilbao,12/13,255,51,3,279,62,6,534,113,9,4.7,18
22,Ath Bilbao,13/14,238,36,3,248,40,1,486,76,4,6.4,18
23,Ath Bilbao,14/15,269,48,1,260,48,3,529,96,4,5.5,18
24,Ath Bilbao,15/16,256,36,3,245,47,3,501,83,6,6.0,18
25,Ath Bilbao,16/17,249,40,0,250,47,2,499,87,2,5.7,18
26,Ath Bilbao,17/18,267,37,0,259,56,0,526,93,0,5.7,18
27,Ath Bilbao,18/19,287,63,2,294,57,3,581,120,5,4.8,18
28,Ath Bilbao,19/20,258,52,1,264,38,1,522,90,2,5.8,18
29,Ath Bilbao,20/21,228,44,1,256,38,2,484,82,3,5.9,18
30,Ath Bilbao,21/22,239,41,1,248,48,3,487,89,4,5.5,18
31,Ath Bilbao,22/23,249,41,2,261,40,3,510,81,5,6.3,18
32,Ath Madrid,05/06,391,58,8,404,57,2,795,115,10,6.9,18
33,Ath Madrid,06/07,335,45,6,371,63,3,706,108,9,6.5,18
34,Ath Madrid,07/08,334,56,6,340,56,1,674,112,7,6.0,18
35,Ath Madrid,08/09,317,54,4,316,54,2,633,108,6,5.9,18
36,Ath Madrid,09/10,312,42,1,298,43,6,610,85,7,7.2,18
37,Ath Madrid,10/11,289,48,5,270,55,0,559,103,5,5.4,18
38,Ath Madrid,11/12,322,56,1,363,71,3,685,127,4,5.4,18
39,Ath Madrid,12/13,296,45,2,298,51,3,594,96,5,6.2,18
40,Ath Madrid,13/14,242,41,0,284,56,3,526,97,3,5.4,18
41,Ath Madrid,14/15,270,45,2,273,64,3,543,109,5,5.0,18
42,Ath Madrid,15/16,278,45,0,227,43,3,505,88,3,5.7,18
43,Ath Madrid,16/17,264,32,2,234,48,1,498,80,3,6.2,18
44,Ath Madrid,17/18,244,50,2,294,46,3,538,96,5,5.6,18
45,Ath Madrid,18/19,232,52,1,244,51,4,476,103,5,4.6,18
46,Ath Madrid,19/20,258,40,2,255,57,1,513,97,3,5.3,18
47,Ath Madrid,20/21,225,39,0,264,59,0,489,98,0,5.0,18
48,Ath Madrid,21/22,250,55,4,223,49,3,473,104,7,4.5,18
49,Ath Madrid,22/23,209,40,4,231,51,4,440,91,8,4.8,18
50,Barcelona,05/06,318,35,1,321,36,5,639,71,6,9.0,18
51,Barcelona,06/07,298,33,4,292,45,3,590,78,7,7.6,18
52,Barcelona,07/08,281,36,2,277,39,3,558,75,5,7.4,18
53,Barcelona,08/09,229,36,3,259,35,3,488,71,6,6.9,18
54,Barcelona,09/10,243,28,3,270,45,2,513,73,5,7.0,18
55,Barcelona,10/11,210,35,0,189,36,2,399,71,2,5.6,18
56,Barcelona,11/12,217,33,2,190,38,2,407,71,4,5.7,18
57,Barcelona,12/13,187,16,0,214,39,3,401,55,3,7.3,18
58,Barcelona,13/14,218,28,1,208,44,0,426,72,1,5.9,18
59,Barcelona,14/15,197,31,2,172,35,1,369,66,3,5.6,18
60,Barcelona,15/16,199,26,1,183,40,0,382,66,1,5.8,18
61,Barcelona,16/17,207,30,0,214,43,1,421,73,1,5.8,18
62,Barcelona,17/18,191,30,1,192,37,1,383,67,2,5.7,18
63,Barcelona,18/19,212,33,2,195,44,0,407,77,2,5.3,18
64,Barcelona,19/20,197,46,3,219,46,3,416,92,6,4.5,18
65,Barcelona,20/21,188,29,1,169,43,1,357,72,2,5.0,18
66,Barcelona,21/22,255,41,1,245,56,4,500,97,5,5.2,18
