,Equipo,num_temp,Total_F,Total_F,Total_Y,Total_Y,Total_R,Total_R,promedio_total_FY
,,,sum,mean,sum,mean,sum,mean,
0,Alaves,7,4050,578.6,709,101.3,32,4.6,5.7
1,Almeria,7,4177,596.7,675,96.4,50,7.1,6.2
2,Ath Bilbao,18,10190,566.1,1690,93.9,104,5.8,6.0
3,Ath Madrid,18,10257,569.8,1817,100.9,95,5.3,5.6
4,Barcelona,18,8089,449.4,1328,73.8,67,3.7,6.1
5,Betis,15,8412,560.8,1462,97.5,106,7.1,5.8
6,Cadiz,4,2148,537.0,390,97.5,18,4.5,5.5
7,Celta,13,6978,536.8,1219,93.8,68,5.2,5.7
8,Cordoba,1,494,494.0,93,93.0,9,9.0,5.3
9,Eibar,7,3717,531.0,625,89.3,27,3.9,5.9
10,Elche,5,2685,537.0,514,102.8,34,6.8,5.2
11,Espanol,17,10270,604.1,1779,104.6,110,6.5,5.8
12,Getafe,17,10213,600.8,1910,112.4,117,6.9,5.3
13,Gimnastic,1,787,787.0,89,89.0,6,6.0,8.8
14,Girona,3,1591,530.3,280,93.3,7,2.3,5.7
15,Granada,9,4866,540.7,968,107.6,53,5.9,5.0
16,Hercules,1,517,517.0,92,92.0,8,8.0,5.6
17,Huesca,2,1108,554.0,184,92.0,5,2.5,6.0
18,La Coruna,11,6054,550.4,998,90.7,58,5.3,6.1
19,Las Palmas,3,1414,471.3,282,94.0,13,4.3,5.0
20,Leganes,4,2364,591.0,443,110.8,16,4.0,5.3
21,Levante,13,7409,569.9,1368,105.2,72,5.5,5.4
22,Malaga,11,6487,589.7,1119,101.7,86,7.8,5.8
23,Mallorca,11,6907,627.9,1096,99.6,68,6.2,6.3
24,Murcia,1,661,661.0,107,107.0,6,6.0,6.2
25,Numancia,1,665,665.0,97,97.0,9,9.0,6.9
26,Osasuna,14,8406,600.4,1378,98.4,99,7.1,6.1
27,Real Madrid,18,9150,508.3,1514,84.1,91,5.1,6.0
28,Recreativo,3,2028,676.0,262,87.3,19,6.3,7.7
29,Santander,7,4930,704.3,748,106.9,58,8.3,6.6
30,Sevilla,18,10082,560.1,1817,100.9,128,7.1,5.5
31,Sociedad,15,7902,526.8,1230,82.0,55,3.7,6.4
32,Sp Gijon,6,3658,609.7,643,107.2,32,5.3,5.7
33,Tenerife,1,614,614.0,86,86.0,4,4.0,7.1
34,Valencia,18,10299,572.2,1819,101.1,121,6.7,5.7
35,Valladolid,9,4885,542.8,787,87.4,43,4.8,6.2
36,Vallecano,8,4484,560.5,867,108.4,50,6.2,5.2
37,Villarreal,17,9049,532.3,1542,90.7,70,4.1,5.9
38,Xerez,1,577,577.0,96,96.0,14,14.0,6.0
39,Zaragoza,7,4655,665.0,789,112.7,58,8.3,5.9
