,Equipo,Temporada,AS,RS_V,HS,RS_H,realizados,recibidos,penaltis_contra,penaltis_favor,promedio_PC,promedio_PF,num_temp
0,Alaves,05/06,166,294,242,230,408,524,10.0,5.0,52.4,81.6,7
1,Alaves,16/17,169,289,220,214,389,503,6.0,4.0,83.8,97.2,7
2,Alaves,17/18,163,313,220,221,383,534,10.0,3.0,53.4,127.7,7
3,Alaves,18/19,185,278,247,223,432,501,6.0,3.0,83.5,144.0,7
4,Alaves,19/20,138,289,178,188,316,477,14.0,6.0,34.1,52.7,7
5,Alaves,20/21,147,221,200,177,347,398,3.0,8.0,132.7,43.4,7
6,Alaves,21/22,156,288,226,229,382,517,9.0,7.0,57.4,54.6,7
7,Almeria,07/08,200,248,236,215,436,463,8.0,6.0,57.9,72.7,7
8,Almeria,08/09,184,270,232,230,416,500,3.0,5.0,166.7,83.2,7
9,Almeria,09/10,206,332,234,302,440,634,4.0,3.0,158.5,146.7,7
10,Almeria,10/11,193,313,263,276,456,589,5.0,1.0,117.8,456.0,7
11,Almeria,13/14,183,333,214,281,397,614,8.0,9.0,76.8,44.1,7
12,Almeria,14/15,175,299,220,240,395,539,2.0,6.0,269.5,65.8,7
13,Almeria,22/23,210,307,230,235,440,542,6.0,3.0,90.3,146.7,7
14,Ath Bilbao,05/06,195,261,251,185,446,446,3.0,5.0,148.7,89.2,18
15,Ath Bilbao,06/07,194,249,223,177,417,426,6.0,7.0,71.0,59.6,18
16,Ath Bilbao,07/08,195,294,246,238,441,532,7.0,4.0,76.0,110.2,18
17,Ath Bilbao,08/09,210,320,262,250,472,570,7.0,10.0,81.4,47.2,18
18,Ath Bilbao,09/10,203,311,280,253,483,564,3.0,10.0,188.0,48.3,18
19,Ath Bilbao,10/11,227,264,275,209,502,473,8.0,11.0,59.1,45.6,18
20,Ath Bilbao,11/12,202,306,259,266,461,572,9.0,2.0,63.6,230.5,18
21,Ath Bilbao,12/13,203,342,275,246,478,588,8.0,2.0,73.5,239.0,18
22,Ath Bilbao,13/14,206,229,304,194,510,423,4.0,8.0,105.8,63.8,18
23,Ath Bilbao,14/15,194,230,247,153,441,383,3.0,5.0,127.7,88.2,18
24,Ath Bilbao,15/16,216,217,238,159,454,376,7.0,5.0,53.7,90.8,18
25,Ath Bilbao,16/17,223,229,255,151,478,380,3.0,8.0,126.7,59.8,18
26,Ath Bilbao,17/18,202,262,228,204,430,466,6.0,8.0,77.7,53.8,18
27,Ath Bilbao,18/19,148,214,239,181,387,395,5.0,7.0,79.0,55.3,18
28,Ath Bilbao,19/20,166,209,248,183,414,392,7.0,10.0,56.0,41.4,18
29,Ath Bilbao,20/21,181,209,223,168,404,377,6.0,5.0,62.8,80.8,18
30,Ath Bilbao,21/22,199,279,267,163,466,442,3.0,2.0,147.3,233.0,18
31,Ath Bilbao,22/23,236,230,313,159,549,389,3.0,7.0,129.7,78.4,18
32,Ath Madrid,05/06,237,236,302,217,539,453,6.0,4.0,75.5,134.8,18
