,Equipo,penaltis_contra,Temporada,penaltis
0,RCD Mallorca,2,05/06,1
1,RC Deportivo de Corunha,3,05/06,4
2,Athletic Bilbao,3,05/06,5
3,FC Villarreal,3,05/06,7
4,RCD Espanyol,3,05/06,4
5,Real Sociedad,4,05/06,5
6,FC Barcelona,4,05/06,11
7,Cádiz CF,4,05/06,6
8,Valência CF,4,05/06,6
9,Getafe CF,5,05/06,3
10,Celta de Vigo,5,05/06,5
11,Sevilla FC,5,05/06,11
12,Real Bétis,5,05/06,2
13,CA Osasuna,6,05/06,4
14,Real Madrid CF,6,05/06,10
15,Atlético de Madrid,6,05/06,4
16,Real Zaragoza,7,05/06,2
17,Málaga CF,7,05/06,2
18,Racing Santander,8,05/06,3
19,Deportivo Alavés,10,05/06,5
20,Levante UD,3,06/07,3
21,Racing Santander,3,06/07,10
22,Atlético de Madrid,3,06/07,8
23,CA Osasuna,3,06/07,4
24,Real Sociedad,4,06/07,4
25,Getafe CF,4,06/07,2
26,RCD Espanyol,5,06/07,3
27,Real Bétis,5,06/07,4
28,RCD Mallorca,5,06/07,2
29,FC Villarreal,5,06/07,2
30,Valência CF,5,06/07,4
31,Gimnàstic de Tarragona,5,06/07,4
32,Sevilla FC,5,06/07,11
33,FC Barcelona,5,06/07,8
34,Real Madrid CF,6,06/07,5
35,RC Deportivo de Corunha,6,06/07,5
36,Athletic Bilbao,6,06/07,7
37,Celta de Vigo,7,06/07,5
38,Real Zaragoza,8,06/07,4
39,Recreativo de Huelva,9,06/07,7
40,Real Valladolid CF,3,07/08,4
41,Valência CF,4,07/08,4
42,Racing Santander,4,07/08,5
43,Recreativo de Huelva,4,07/08,1
44,Real Murcia CF,4,07/08,8
45,Real Madrid CF,4,07/08,6
46,Getafe CF,4,07/08,7
47,Atlético de Madrid,4,07/08,4
48,RC Deportivo de Corunha,5,07/08,8
49,RCD Mallorca,5,07/08,4
50,Real Zaragoza,5,07/08,7
51,RCD Espanyol,5,07/08,7
52,FC Villarreal,6,07/08,11
53,CA Osasuna,7,07/08,3
54,Athletic Bilbao,7,07/08,4
55,Real Bétis,7,07/08,5
56,Sevilla FC,7,07/08,6
57,UD Almería,8,07/08,6
58,Levante UD,9,07/08,6
59,FC Barcelona,11,07/08,7
60,FC Barcelona,3,08/09,9
61,UD Almería,3,08/09,5
62,RCD Espanyol,5,08/09,9
63,Getafe CF,5,08/09,12
64,Real Valladolid CF,5,08/09,3
65,Racing Santander,6,08/09,7
66,Málaga CF,6,08/09,10
67,Real Bétis,6,08/09,5
68,Real Madrid CF,6,08/09,4
69,FC Villarreal,6,08/09,6
70,Athletic Bilbao,7,08/09,10
71,CA Osasuna,7,08/09,4
72,Sevilla FC,7,08/09,3
73,RC Deportivo de Corunha,7,08/09,8
74,CD Numância,8,08/09,9
75,Recreativo de Huelva,8,08/09,4
76,Real Sporting de Gijón,9,08/09,7
77,Valência CF,10,08/09,9
78,Atlético de Madrid,10,08/09,7
79,RCD Mallorca,10,08/09,3
80,FC Barcelona,1,09/10,3
81,Sevilla FC,1,09/10,5
82,Getafe CF,1,09/10,6
83,Real Valladolid CF,2,09/10,2
84,Real Madrid CF,2,09/10,8
85,CA Osasuna,2,09/10,3
86,Real Zaragoza,2,09/10,5
87,RC Deportivo de Corunha,3,09/10,3
88,Athletic Bilbao,3,09/10,10
89,Valência CF,3,09/10,3
90,Real Sporting de Gijón,4,09/10,6
91,RCD Mallorca,4,09/10,6
92,UD Almería,4,09/10,3
93,CD Tenerife,5,09/10,4
94,Racing Santander,6,09/10,4
95,RCD Espanyol,6,09/10,0
96,Málaga CF,6,09/10,0
97,Atlético de Madrid,7,09/10,4
98,Xerez CD,7,09/10,3
99,FC Villarreal,9,09/10,0
100,FC Villarreal,2,10/11,4
101,Real Sociedad,2,10/11,4
102,CA Osasuna,3,10/11,5
103,Hércules CF,4,10/11,4
104,RCD Espanyol,4,10/11,6
105,Real Madrid CF,4,10/11,12
106,RC Deportivo de Corunha,4,10/11,5
107,Real Sporting de Gijón,5,10/11,8
108,Levante UD,5,10/11,2
109,Sevilla FC,5,10/11,12
110,FC Barcelona,5,10/11,5
111,UD Almería,5,10/11,1
112,Real Zaragoza,6,10/11,6
113,Valência CF,7,10/11,3
114,Atlético de Madrid,7,10/11,5
115,Athletic Bilbao,8,10/11,11
116,RCD Mallorca,8,10/11,6
117,Getafe CF,10,10/11,4
118,Racing Santander,10,10/11,6
119,Málaga CF,11,10/11,6
120,Real Madrid CF,1,11/12,13
121,Real Sporting de Gijón,2,11/12,3
122,Valência CF,2,11/12,4
123,FC Villarreal,2,11/12,10
124,RCD Mallorca,3,11/12,5
125,Real Sociedad,4,11/12,1
126,FC Barcelona,4,11/12,11
127,Málaga CF,5,11/12,2
128,Real Zaragoza,5,11/12,6
129,CA Osasuna,5,11/12,2
130,Sevilla FC,5,11/12,4
131,Levante UD,5,11/12,8
132,Granada CF,5,11/12,4
133,Atlético de Madrid,6,11/12,6
134,Getafe CF,6,11/12,3
135,Racing Santander,6,11/12,4
136,Real Bétis,7,11/12,3
137,RCD Espanyol,8,11/12,1
138,Rayo Vallecano,8,11/12,6
139,Athletic Bilbao,9,11/12,2
140,Atlético de Madrid,0,12/13,8
141,Granada CF,1,12/13,8
142,Real Madrid CF,3,12/13,9
143,Real Sociedad,3,12/13,7
144,RCD Mallorca,4,12/13,3
145,FC Barcelona,4,12/13,5
146,RCD Espanyol,5,12/13,4
147,Málaga CF,5,12/13,5
148,Real Bétis,6,12/13,4
149,Getafe CF,6,12/13,4
150,Celta de Vigo,6,12/13,3
151,CA Osasuna,6,12/13,1
152,Real Zaragoza,6,12/13,8
153,RC Deportivo de Corunha,7,12/13,6
154,Valência CF,7,12/13,7
155,Sevilla FC,7,12/13,7
156,Rayo Vallecano,7,12/13,7
