,Equipo,num_temp,RS_V,RS_H,AS,HS,penaltis_contra,penaltis_favor,promedio_PC,promedio_PF
0,Alaves,7,1972,1482,1124,1533,58.0,36.0,59.6,73.8
1,Almeria,7,2102,1779,1351,1629,36.0,33.0,107.8,90.3
2,Ath Bilbao,18,4655,3539,3600,4633,98.0,116.0,83.6,71.0
3,Ath Madrid,18,4210,3312,3960,5115,84.0,105.0,89.5,86.4
4,Barcelona,18,3532,2667,4812,5833,68.0,141.0,91.2,75.5
5,Betis,15,3932,3173,3082,3861,86.0,72.0,82.6,96.4
6,Cadiz,4,1044,901,658,816,37.0,21.0,52.6,70.2
7,Celta,13,3348,2574,2510,3217,83.0,66.0,71.3,86.8
8,Cordoba,1,315,221,173,222,7.0,3.0,76.6,131.7
9,Eibar,7,1549,1175,1368,1737,34.0,48.0,80.1,64.7
10,Elche,5,1330,1135,799,1023,44.0,21.0,56.0,86.8
11,Espanol,17,4661,3788,3229,3924,85.0,70.0,99.4,102.2
12,Getafe,17,4301,3339,3365,4219,99.0,90.0,77.2,84.3
13,Gimnastic,1,270,246,167,214,5.0,4.0,103.2,95.2
14,Girona,3,829,610,574,726,21.0,23.0,68.5,56.5
15,Granada,9,2517,2071,1709,2069,55.0,49.0,83.4,77.1
16,Hercules,1,291,255,160,234,4.0,4.0,136.5,98.5
17,Huesca,2,528,365,383,497,14.0,11.0,63.8,80.0
18,La Coruna,11,3070,2398,2185,2857,53.0,59.0,103.2,85.5
19,Las Palmas,3,866,618,565,701,20.0,19.0,74.2,66.6
20,Leganes,4,922,661,752,907,25.0,17.0,63.3,97.6
21,Levante,13,3892,3173,2409,2924,87.0,65.0,81.2,82.0
22,Malaga,11,2865,2335,2160,2858,66.0,49.0,78.8,102.4
23,Mallorca,11,2972,2290,2332,2716,72.0,48.0,73.1,105.2
24,Murcia,1,235,167,191,202,4.0,8.0,100.5,49.1
25,Numancia,1,321,265,195,227,8.0,9.0,73.2,46.9
26,Osasuna,14,3705,2905,2679,3560,77.0,52.0,85.8,120.0
27,Real Madrid,18,4223,3587,5192,6526,83.0,157.0,94.1,74.6
28,Recreativo,3,777,628,586,698,21.0,12.0,66.9,107.0
29,Santander,7,1884,1531,1299,1637,43.0,39.0,79.4,75.3
30,Sevilla,18,4595,3573,3905,5212,98.0,128.0,83.3,71.2
31,Sociedad,15,3761,3127,3089,3749,77.0,78.0,89.5,87.7
32,Sp Gijon,6,1803,1372,1039,1488,39.0,33.0,81.4,76.6
33,Tenerife,1,282,189,235,304,5.0,4.0,94.2,134.8
34,Valencia,18,4811,3805,3573,4757,118.0,109.0,73.0,76.4
35,Valladolid,9,2636,1892,1750,2066,57.0,42.0,79.4,90.9
36,Vallecano,8,2028,1658,1852,2207,59.0,48.0,62.5,84.6
37,Villarreal,17,4432,3522,3419,4380,90.0,107.0,88.4,72.9
38,Xerez,1,323,275,171,193,7.0,3.0,85.4,121.3
39,Zaragoza,7,1828,1446,1447,1946,39.0,38.0,83.9,89.3
