,Equipo,Temporada,AS,RS_V,HS,RS_H,realizados,recibidos
0,Alaves,05/06,166,294,242,230,408,524
1,Alaves,16/17,169,289,220,214,389,503
2,Alaves,17/18,163,313,220,221,383,534
3,Alaves,18/19,185,278,247,223,432,501
4,Alaves,19/20,138,289,178,188,316,477
5,Alaves,20/21,147,221,200,177,347,398
6,Alaves,21/22,156,288,226,229,382,517
7,Almeria,07/08,200,248,236,215,436,463
8,Almeria,08/09,184,270,232,230,416,500
9,Almeria,09/10,206,332,234,302,440,634
10,Almeria,10/11,193,313,263,276,456,589
11,Almeria,13/14,183,333,214,281,397,614
12,Almeria,14/15,175,299,220,240,395,539
13,Almeria,22/23,210,307,230,235,440,542
14,Ath Bilbao,05/06,195,261,251,185,446,446
15,Ath Bilbao,06/07,194,249,223,177,417,426
16,Ath Bilbao,07/08,195,294,246,238,441,532
17,Ath Bilbao,08/09,210,320,262,250,472,570
18,Ath Bilbao,09/10,203,311,280,253,483,564
19,Ath Bilbao,10/11,227,264,275,209,502,473
20,Ath Bilbao,11/12,202,306,259,266,461,572
21,Ath Bilbao,12/13,203,342,275,246,478,588
22,Ath Bilbao,13/14,206,229,304,194,510,423
23,Ath Bilbao,14/15,194,230,247,153,441,383
24,Ath Bilbao,15/16,216,217,238,159,454,376
25,Ath Bilbao,16/17,223,229,255,151,478,380
26,Ath Bilbao,17/18,202,262,228,204,430,466
27,Ath Bilbao,18/19,148,214,239,181,387,395
28,Ath Bilbao,19/20,166,209,248,183,414,392
29,Ath Bilbao,20/21,181,209,223,168,404,377
30,Ath Bilbao,21/22,199,279,267,163,466,442
31,Ath Bilbao,22/23,236,230,313,159,549,389
32,Ath Madrid,05/06,237,236,302,217,539,453
33,Ath Madrid,06/07,247,214,325,190,572,404
34,Ath Madrid,07/08,228,231,289,197,517,428
35,Ath Madrid,08/09,231,285,329,202,560,487
36,Ath Madrid,09/10,227,281,325,232,552,513
37,Ath Madrid,10/11,253,266,316,243,569,509
38,Ath Madrid,11/12,252,250,327,185,579,435
39,Ath Madrid,12/13,242,213,265,167,507,380
40,Ath Madrid,13/14,229,207,274,137,503,344
41,Ath Madrid,14/15,191,191,247,137,438,328
42,Ath Madrid,15/16,211,217,269,152,480,369
43,Ath Madrid,16/17,193,253,309,174,502,427
44,Ath Madrid,17/18,177,246,227,196,404,442
45,Ath Madrid,18/19,205,245,237,189,442,434
46,Ath Madrid,19/20,197,221,250,194,447,415
47,Ath Madrid,20/21,203,189,259,172,462,361
48,Ath Madrid,21/22,203,192,261,164,464,356
49,Ath Madrid,22/23,234,273,304,164,538,437
50,Barcelona,05/06,289,182,374,136,663,318
51,Barcelona,06/07,250,233,300,143,550,376
52,Barcelona,07/08,241,261,322,164,563,425
53,Barcelona,08/09,343,157,364,108,707,265
54,Barcelona,09/10,275,176,319,149,594,325
55,Barcelona,10/11,283,160,308,121,591,281
56,Barcelona,11/12,282,155,341,121,623,276
57,Barcelona,12/13,226,195,298,143,524,338
58,Barcelona,13/14,300,190,343,145,643,335
59,Barcelona,14/15,302,175,324,130,626,305
60,Barcelona,15/16,279,191,325,174,604,365
61,Barcelona,16/17,279,217,369,134,648,351
62,Barcelona,17/18,278,236,302,206,580,442
63,Barcelona,18/19,227,220,334,189,561,409
64,Barcelona,19/20,218,201,277,171,495,372
65,Barcelona,20/21,273,173,308,158,581,331
66,Barcelona,21/22,228,216,290,137,518,353
67,Barcelona,22/23,239,194,335,138,574,332
68,Betis,05/06,249,262,251,207,500,469
69,Betis,06/07,209,246,234,207,443,453
70,Betis,07/08,184,335,251,259,435,594
71,Betis,08/09,261,291,295,271,556,562
72,Betis,11/12,227,271,289,223,516,494
73,Betis,12/13,182,287,264,233,446,520
74,Betis,13/14,208,253,293,190,501,443
75,Betis,15/16,157,318,235,200,392,518
76,Betis,16/17,187,255,253,210,440,465
77,Betis,17/18,173,264,242,186,415,450
78,Betis,18/19,186,238,258,186,444,424
79,Betis,19/20,212,237,267,213,479,450
80,Betis,20/21,223,197,220,169,443,366
81,Betis,21/22,223,236,292,196,515,432
82,Betis,22/23,201,242,217,223,418,465
83,Cadiz,05/06,149,258,214,214,363,472
84,Cadiz,20/21,143,232,162,218,305,450
85,Cadiz,21/22,179,262,232,212,411,474
86,Cadiz,22/23,187,292,208,257,395,549
87,Celta,05/06,197,298,251,204,448,502
88,Celta,06/07,211,269,269,188,480,457
89,Celta,12/13,199,279,258,217,457,496
90,Celta,13/14,236,292,258,212,494,504
91,Celta,14/15,204,243,292,179,496,422
92,Celta,15/16,177,268,267,193,444,461
93,Celta,16/17,192,269,213,229,405,498
94,Celta,17/18,184,253,259,197,443,450
95,Celta,18/19,209,260,240,220,449,480
96,Celta,19/20,161,252,208,191,369,443
97,Celta,20/21,151,215,206,198,357,413
98,Celta,21/22,179,228,231,177,410,405
99,Celta,22/23,210,222,265,169,475,391
100,Cordoba,14/15,173,315,222,221,395,536
101,Eibar,14/15,142,318,215,231,357,549
102,Eibar,15/16,187,217,232,169,419,386
103,Eibar,16/17,208,234,241,169,449,403
104,Eibar,17/18,215,179,261,147,476,326
105,Eibar,18/19,218,179,309,151,527,330
106,Eibar,19/20,196,209,228,172,424,381
107,Eibar,20/21,202,213,251,136,453,349
108,Elche,13/14,192,210,211,220,403,430
109,Elche,14/15,177,266,231,213,408,479
110,Elche,20/21,144,232,124,243,268,475
111,Elche,21/22,130,286,205,232,335,518
112,Elche,22/23,156,336,252,227,408,563
113,Espanol,05/06,212,266,206,265,418,531
114,Espanol,06/07,166,266,240,244,406,510
115,Espanol,07/08,206,275,232,236,438,511
116,Espanol,08/09,187,316,235,261,422,577
117,Espanol,09/10,193,283,268,203,461,486
118,Espanol,10/11,214,275,245,223,459,498
119,Espanol,11/12,219,272,279,205,498,477
120,Espanol,12/13,190,289,215,223,405,512
121,Espanol,13/14,206,242,209,214,415,456
122,Espanol,14/15,175,256,206,200,381,456
123,Espanol,15/16,185,276,203,215,388,491
124,Espanol,16/17,131,260,212,191,343,451
125,Espanol,17/18,168,278,243,204,411,482
126,Espanol,18/19,216,270,254,249,470,519
127,Espanol,19/20,188,254,224,192,412,446
128,Espanol,21/22,203,262,202,240,405,502
129,Espanol,22/23,170,321,251,223,421,544
130,Getafe,05/06,250,239,285,194,535,433
131,Getafe,06/07,196,248,248,207,444,455
132,Getafe,07/08,241,270,273,203,514,473
133,Getafe,08/09,256,248,324,190,580,438
134,Getafe,09/10,240,296,308,198,548,494
135,Getafe,10/11,228,303,295,222,523,525
136,Getafe,11/12,162,293,211,225,373,518
137,Getafe,12/13,219,301,247,206,466,507
138,Getafe,13/14,196,323,233,232,429,555
139,Getafe,14/15,188,286,232,215,420,501
140,Getafe,15/16,189,263,243,211,432,474
141,Getafe,17/18,153,213,217,173,370,386
142,Getafe,18/19,173,214,224,164,397,378
143,Getafe,19/20,188,148,224,133,412,281
144,Getafe,20/21,162,179,199,143,361,322
145,Getafe,21/22,173,228,235,184,408,412
146,Getafe,22/23,151,249,221,239,372,488
147,Gimnastic,06/07,167,270,214,246,381,516
148,Girona,17/18,200,241,243,183,443,424
149,Girona,18/19,180,307,222,215,402,522
150,Girona,22/23,194,281,261,212,455,493
151,Granada,11/12,245,322,247,257,492,579
152,Granada,12/13,208,278,256,254,464,532
153,Granada,13/14,187,294,245,238,432,532
154,Granada,14/15,171,260,232,173,403,433
155,Granada,15/16,195,226,234,210,429,436
156,Granada,16/17,158,332,222,251,380,583
157,Granada,19/20,178,248,215,200,393,448
158,Granada,20/21,169,255,190,226,359,481
159,Granada,21/22,198,302,228,262,426,564
160,Hercules,10/11,160,291,234,255,394,546
161,Huesca,18/19,191,291,283,180,474,471
162,Huesca,20/21,192,237,214,185,406,422
163,La Coruna,05/06,220,269,289,209,509,478
164,La Coruna,06/07,210,269,259,224,469,493
165,La Coruna,07/08,197,270,271,189,468,459
166,La Coruna,08/09,196,298,294,239,490,537
167,La Coruna,09/10,176,337,218,262,394,599
168,La Coruna,10/11,159,281,255,214,414,495
169,La Coruna,12/13,253,295,272,242,525,537
170,La Coruna,14/15,183,243,214,209,397,452
171,La Coruna,15/16,189,237,262,174,451,411
172,La Coruna,16/17,206,271,255,206,461,477
173,La Coruna,17/18,196,300,268,230,464,530
174,Las Palmas,15/16,208,289,211,191,419,480
175,Las Palmas,16/17,196,266,241,206,437,472
176,Las Palmas,17/18,161,311,249,221,410,532
177,Leganes,16/17,192,228,221,172,413,400
178,Leganes,17/18,183,240,213,185,396,425
179,Leganes,18/19,171,250,248,158,419,408
180,Leganes,19/20,206,204,225,146,431,350
181,Levante,06/07,196,273,238,188,434,461
182,Levante,07/08,202,286,211,235,413,521
183,Levante,10/11,168,303,220,237,388,540
184,Levante,11/12,179,305,214,239,393,544
185,Levante,12/13,153,324,245,261,398,585
186,Levante,13/14,159,339,205,310,364,649
187,Levante,14/15,198,248,205,236,403,484
188,Levante,15/16,206,285,227,218,433,503
189,Levante,17/18,179,287,231,249,410,536
190,Levante,18/19,182,400,261,292,443,692
191,Levante,19/20,205,316,221,260,426,576
192,Levante,20/21,167,249,218,214,385,463
193,Levante,21/22,215,277,228,234,443,511
194,Malaga,05/06,202,314,233,240,435,554
195,Malaga,08/09,214,351,229,259,443,610
196,Malaga,09/10,208,268,249,232,457,500
197,Malaga,10/11,186,312,256,260,442,572
198,Malaga,11/12,203,229,331,171,534,400
199,Malaga,12/13,184,262,252,224,436,486
200,Malaga,13/14,211,240,262,179,473,419
201,Malaga,14/15,180,197,277,188,457,385
202,Malaga,15/16,191,227,257,178,448,405
203,Malaga,16/17,208,219,283,196,491,415
204,Malaga,17/18,173,246,229,208,402,454
205,Mallorca,05/06,199,275,231,183,430,458
206,Mallorca,06/07,233,242,263,176,496,418
207,Mallorca,07/08,221,259,256,206,477,465
208,Mallorca,08/09,261,256,300,217,561,473
209,Mallorca,09/10,217,262,269,194,486,456
210,Mallorca,10/11,227,267,261,203,488,470
211,Mallorca,11/12,204,292,233,225,437,517
212,Mallorca,12/13,214,315,267,229,481,544
213,Mallorca,19/20,210,253,210,243,420,496
214,Mallorca,21/22,196,271,248,199,444,470
215,Mallorca,22/23,150,280,178,215,328,495
216,Murcia,07/08,191,235,202,167,393,402
217,Numancia,08/09,195,321,227,265,422,586
218,Osasuna,05/06,186,262,292,179,478,441
219,Osasuna,06/07,188,266,277,211,465,477
220,Osasuna,07/08,185,242,269,184,454,426
221,Osasuna,08/09,185,248,242,225,427,473
222,Osasuna,09/10,195,272,228,252,423,524
223,Osasuna,10/11,211,333,269,178,480,511
224,Osasuna,11/12,202,305,264,228,466,533
225,Osasuna,12/13,226,256,283,192,509,448
226,Osasuna,13/14,178,282,255,248,433,530
227,Osasuna,16/17,163,278,226,227,389,505
228,Osasuna,19/20,196,229,263,195,459,424
229,Osasuna,20/21,187,226,189,203,376,429
230,Osasuna,21/22,193,248,241,196,434,444
231,Osasuna,22/23,184,258,262,187,446,445
232,Real Madrid,05/06,253,328,311,289,564,617
233,Real Madrid,06/07,205,275,296,221,501,496
234,Real Madrid,07/08,223,301,332,264,555,565
235,Real Madrid,08/09,275,254,351,261,626,515
236,Real Madrid,09/10,354,199,462,194,816,393
237,Real Madrid,10/11,331,203,387,178,718,381
238,Real Madrid,11/12,320,213,409,171,729,384
239,Real Madrid,12/13,286,229,418,208,704,437
240,Real Madrid,13/14,349,224,394,188,743,412
241,Real Madrid,14/15,305,256,383,199,688,455
242,Real Madrid,15/16,333,219,377,209,710,428
243,Real Madrid,16/17,314,227,347,172,661,399
244,Real Madrid,17/18,302,228,396,165,698,393
245,Real Madrid,18/19,257,219,337,168,594,387
246,Real Madrid,19/20,249,186,313,150,562,336
247,Real Madrid,20/21,244,204,303,154,547,358
248,Real Madrid,21/22,296,226,359,205,655,431
249,Real Madrid,22/23,296,232,351,191,647,423
250,Recreativo,06/07,207,249,232,194,439,443
251,Recreativo,07/08,191,256,250,202,441,458
252,Recreativo,08/09,188,272,216,232,404,504
253,Santander,05/06,160,250,225,229,385,479
